pillar,module,topic,slug,title,inferred_archetype,confidence_band
P01,core-java,scenario-based,java-pass-by-value-not-reference,Java Is Always Pass-by-Value,D,high
P01,core-java,scenario-based,java-record-classes-what-they-are-when-to-use,Java Records: Immutable Data Carriers,D,high
P01,core-java,scenario-based,java-records-generated-code,Java Records — What the Compiler Generates,D,high
P01,core-java,scenario-based,java-stream-collectors-groupingby-tomap,"Java Stream Collectors — groupingBy, partitioningBy, toMap",D,high
P01,core-java,scenario-based,java-stream-map-vs-flatmap-difference,map() vs flatMap() in Java Streams,B,medium
P01,core-java,scenario-based,java-streams-lazy-evaluation-common-operations,Java Streams: Lazy Evaluation and Common Operations,D,high
P01,core-java,scenario-based,java-var-local-variable-type-inference-limitations,Java var: Local Variable Type Inference,D,high
P01,core-java,scenario-based,parallel-streams-java,Parallel Streams in Java — When They Help vs When They Hurt,B,medium
P01,core-java,scenario-based,predicate-consumer-supplier-function,"Predicate, Consumer, Supplier, Function — The 4 Core Functional Interfaces",D,high
P01,core-java,scenario-based,sealed-classes-pattern-matching,Sealed Classes and Pattern Matching,D,high
P01,core-java,scenario-based,stream-collectors-joining-reducing,"Stream Collectors — joining, reducing, collectingAndThen, toUnmodifiableList",D,high
P01,core-java,scenario-based,type-casting-widening-narrowing,"Type Casting in Java — Widening vs Narrowing, ClassCastException",B,medium
P01,core-java,scenario-based,varargs-java,Varargs in Java — Variable Arguments and Heap Pollution,D,high
P01,core-java,scenario-based,weak-soft-phantom-references,WeakReference vs SoftReference vs PhantomReference,B,medium
P01,core-java,string-handling,string-equals-vs-contentequals-java,`String.equals()` vs `equalsIgnoreCase()` vs `contentEquals()` — Which to Use When,E,high
P01,core-java,string-handling,string-intern-method-java-explained,`String.intern()` and the String Pool — How They Work and When to Use `intern()`,A,medium
P01,core-java,string-handling,string-pool-interning,String Pool and Interning,A,medium
P01,core-java,string-handling,string-vs-stringbuilder-vs-stringbuffer-java,String vs StringBuilder vs StringBuffer,B,medium
P01,core-java,string-handling,why-string-is-immutable-in-java,"Why `String` Is Immutable in Java — Security, Hashing, the String Pool, and Thread Safety",A,medium
P01,java-collections,algorithm-complexity,amortized-complexity-arraylist-hashmap-java,Amortized Complexity — Why ArrayList.add and HashMap.put Are Really O(1),A,medium
P01,java-collections,algorithm-complexity,big-o-notation-introduction-java,Big-O Notation — The Complexity Classes Every Java Developer Must Know,A,medium
P01,java-collections,algorithm-complexity,how-to-analyze-recursive-algorithm-complexity-java,"Analyzing Recursive Algorithm Complexity — Master Theorem, Recursion Tree, Substitution",A,medium
P01,java-collections,algorithm-complexity,time-complexity-common-operations-java,Time Complexity of Java Collection Operations — The Cheat Sheet,A,medium
P01,java-collections,collections-internals,arraydeque-vs-linkedlist-queue-stack,ArrayDeque vs LinkedList as Queue/Stack,B,medium
P01,java-collections,collections-internals,arraylist-vs-linkedlist,ArrayList vs LinkedList — When to Use Each,E,high
P01,java-collections,collections-internals,choosing-the-right-collection,Choosing the Right Collection — Decision Guide,C,high
P01,java-collections,collections-internals,collections-utility-class-methods,"Collections Utility Class — sort, shuffle, frequency, unmodifiable",C,high
P01,java-collections,collections-internals,comparable-vs-comparator,Comparable vs Comparator in Java,B,medium
P01,java-collections,collections-internals,comparator-thencomparing-reversed,Sorting with Comparator: thenComparing and reversed,C,high
P01,java-collections,collections-internals,copyonwritearraylist-when-and-why,CopyOnWriteArrayList — When and Why,C,high
P01,java-collections,collections-internals,enummap-enumset-performance,EnumMap and EnumSet — Performance Advantages,C,high
P01,java-collections,collections-internals,fail-fast-vs-fail-safe-iterators-java,Fail-Fast vs Fail-Safe Iterators in Java,B,medium
P01,java-collections,collections-internals,hashmap-vs-hashtable-vs-concurrenthashmap-java,HashMap vs Hashtable vs ConcurrentHashMap,B,medium
P01,java-collections,collections-internals,hashmap-vs-treemap-vs-linkedhashmap,HashMap vs TreeMap vs LinkedHashMap,B,medium
P01,java-collections,collections-internals,how-hashset-works-internally-java,How HashSet Works Internally in Java,C,high
P01,java-collections,collections-internals,iterator-vs-listiterator-java,Iterator vs ListIterator — Traversal and Modification,B,medium
P01,java-collections,collections-internals,list-vs-set-vs-map-overview,List vs Set vs Map — When to Use Each Collection Type,E,high
P01,java-collections,collections-internals,map-compute-merge-methods,"Map compute(), merge(), computeIfAbsent() — Atomic Map Operations",C,high
P01,java-collections,collections-internals,priorityqueue-heap-structure,PriorityQueue — Heap Structure and Use Cases,C,high
P01,java-collections,collections-internals,stream-api-with-collections,"Stream API with Collections — toList, toSet, toMap, groupingBy",C,high
P01,java-collections,collections-internals,treeset-treemap-navigable,TreeSet and TreeMap — Sorted Collections and NavigableSet/NavigableMap,C,high
P01,java-collections,collections-internals,unmodifiable-list-vs-list-of-vs-list-copyof,Collections.unmodifiableList vs List.of vs List.copyOf,B,medium
P01,java-collections,collections-internals,weakhashmap-gc-cache,WeakHashMap — Garbage Collection-Friendly Cache,C,high
P01,java-collections,comparisons,array-vs-arraylist-java-comparison,"Array vs ArrayList in Java — Primitives, Generics, Resize, and When to Use Each",E,high
P01,java-collections,comparisons,hashmap-vs-concurrenthashmap-comparison,"HashMap vs ConcurrentHashMap — Thread-Safety, Locking Strategies, Iteration",B,high
P01,java-collections,comparisons,stack-vs-queue-java-comparison,"Stack vs Queue in Java — LIFO, FIFO, and Why to Use ArrayDeque Instead",B,high
P01,java-collections,dynamic-programming,dynamic-programming-introduction-java,"Dynamic Programming — Optimal Substructure, Overlapping Subproblems, When to Apply",A,medium
P01,java-collections,dynamic-programming,fibonacci-dp-java,"Fibonacci in Java — Naive Recursion, Memoization, Tabulation, O(1) Space",A,medium
P01,java-collections,dynamic-programming,knapsack-01-dp-java,"0/1 Knapsack DP in Java — Implementation, Optimization, vs Fractional (Greedy)",B,medium
P01,java-collections,dynamic-programming,memoization-vs-tabulation-java,Memoization vs Tabulation — Top-Down vs Bottom-Up DP in Java,B,medium
P01,java-collections,problem-solving-patterns,backtracking-java-pattern,"Backtracking Pattern in Java — Subsets, Permutations, N-Queens, Pruning",A,medium
P01,java-collections,problem-solving-patterns,fast-and-slow-pointers-java,"Fast and Slow Pointers — Floyd's Cycle Detection, Cycle Start, Middle",A,medium
P01,java-collections,problem-solving-patterns,sliding-window-technique-java,"Sliding Window Technique — Fixed vs Variable, with Java Solutions",B,medium
P01,java-collections,problem-solving-patterns,top-k-elements-heap-java,Top-K Elements with a Heap — O(n log k) Pattern in Java,A,medium
P01,java-collections,problem-solving-patterns,two-pointers-technique-java,"Two-Pointers Technique — Opposite-Ends, Same-Direction, with Java Examples",A,medium
P01,java-collections,scenario-based,check-anagram-java,Check if Two Strings Are Anagrams — Sort vs Frequency Counter in Java,B,medium
P01,java-collections,scenario-based,detect-loop-in-linked-list-java,Detect a Loop in a Linked List — Floyd's Cycle Detection with Cycle Start,D,high
P01,java-collections,scenario-based,reverse-linked-list-java-iterative-recursive,Reverse a Linked List — Iterative and Recursive in Java,D,high
P01,java-collections,sorting-and-searching,java-sorting-algorithms-overview,"Java Sorting Algorithms — Overview, Complexity, and Stability",A,medium
P01,java-collections,sorting-and-searching,timsort-java-collections-sort,"TimSort — Java's Default Sort, Adaptive Merge Sort with Insertion Sort",A,medium
P01,java-collections,trees-and-graphs,binary-tree-vs-binary-search-tree-java,"Binary Tree vs Binary Search Tree in Java — Properties, Complexity, Use Cases",B,medium
P01,java-collections,trees-and-graphs,graph-representation-adjacency-list-matrix-java,Graph Representation in Java — Adjacency List vs Matrix Trade-offs,B,medium
P01,java-collections,trees-and-graphs,tree-traversal-inorder-preorder-postorder-java,"Tree Traversals in Java — Inorder, Preorder, Postorder (Recursive and Iterative)",A,medium
P01,java-concurrency,comparisons,future-vs-completablefuture-comparison,`Future` vs `CompletableFuture` — Blocking Handle vs Composable Async,B,high
P01,java-concurrency,comparisons,virtual-vs-platform-threads-comparison,Virtual Threads vs Platform Threads in Java 21 — Complete Comparison,B,high
P01,java-concurrency,comparisons,volatile-vs-synchronized-comparison,`volatile` vs `synchronized` — Visibility vs Atomicity,B,high
P01,java-concurrency,completable-future,completablefuture-chains,"CompletableFuture Chains: thenApply, thenCompose, exceptionally",A,medium
P01,java-concurrency,completable-future,completablefuture-exception-handling-java,`CompletableFuture` Exception Handling — `exceptionally` vs `handle` vs `whenComplete`,B,medium
P01,java-concurrency,completable-future,java-future-vs-completablefuture-comparison,Future vs CompletableFuture in Java,B,medium
P01,java-concurrency,completable-future,thencompose-vs-thencombine-java,`thenCompose` vs `thenCombine` — Sequential Chain vs Parallel Combine,B,medium
P01,java-concurrency,completable-future,what-is-completablefuture-java,What Is `CompletableFuture` in Java — Beyond `Future` to Composable Async,A,medium
P01,java-concurrency,concurrency-patterns,countdownlatch-vs-cyclicbarrier-vs-semaphore,CountDownLatch vs CyclicBarrier vs Semaphore,B,medium
P01,java-concurrency,concurrency-patterns,double-checked-locking-java,"Double-Checked Locking in Java — The Pattern, the Bug, and the Fix",A,medium
P01,java-concurrency,concurrency-patterns,producer-consumer-pattern-java,Producer-Consumer Pattern in Java — BlockingQueue vs wait/notify,B,medium
P01,java-concurrency,concurrency-patterns,thread-safe-singleton-patterns-java,"Thread-Safe Singleton Patterns in Java — Enum, Holder, DCL, Eager",A,medium
P01,java-concurrency,concurrency-patterns,threadlocal-use-cases-pitfalls,ThreadLocal — Use Cases and Pitfalls,A,medium
P01,java-concurrency,concurrent-collections,blockingqueue-producer-consumer,BlockingQueue and the Producer-Consumer Pattern,A,medium
P01,java-concurrency,concurrent-collections,concurrenthashmap-internals,ConcurrentHashMap Internals,C,high
P01,java-concurrency,concurrent-collections,linkedblockingqueue-vs-arrayblockingqueue-java,"`LinkedBlockingQueue` vs `ArrayBlockingQueue` — Locking Strategy, Bounds, and Throughput",B,medium
P01,java-concurrency,concurrent-collections,why-concurrent-collections-java,"Why Concurrent Collections in Java — HashMap, synchronizedMap, and the Real Solutions",A,medium
P01,java-concurrency,java-memory-model,data-race-vs-race-condition-java,Data Race vs Race Condition in Java — Memory-Level vs Logical-Level Bugs,B,medium
P01,java-concurrency,java-memory-model,java-memory-model-happens-before,Java Memory Model and Happens-Before,A,medium
P01,java-concurrency,java-memory-model,volatile-visibility-guarantee,volatile — Visibility Guarantee in Java,A,medium
P01,java-concurrency,java-memory-model,volatile-vs-atomic-java,`volatile` vs `Atomic*` in Java — Visibility vs Compound Atomicity,B,medium
P01,java-concurrency,java-memory-model,what-is-java-memory-model-jmm,"Java Memory Model (JMM) Explained — Happens-Before, Visibility, and Why It Exists",A,medium
P01,java-concurrency,scenario-based,how-to-avoid-deadlock-java,"How to Avoid Deadlock in Java — Lock Ordering, tryLock, and Design Techniques",D,high
P01,java-concurrency,scenario-based,how-to-detect-deadlock-java-thread-dump,"Detecting Deadlock in Java — jstack, ThreadMXBean, and Dump Analysis",D,high
P01,java-concurrency,scenario-based,liveness-hazards-deadlock-livelock-starvation,"Liveness Hazards: Deadlock, Livelock, and Starvation",D,high
P01,java-concurrency,scenario-based,parallel-streams-when-they-help-vs-hurt,Parallel Streams — When They Help vs Hurt,B,medium
P01,java-concurrency,scenario-based,race-condition-identify-and-fix,Race Condition — How to Identify and Fix,D,high
P01,java-concurrency,synchronization-and-locks,atomicinteger-vs-synchronized,AtomicInteger vs synchronized — When to Use Each,E,high
P01,java-concurrency,synchronization-and-locks,reentrant-read-write-lock,ReentrantReadWriteLock — Use Cases and Pitfalls,A,medium
P01,java-concurrency,synchronization-and-locks,stampedlock-optimistic-reads,StampedLock and Optimistic Reads,A,medium
P01,java-concurrency,synchronization-and-locks,synchronized-keyword-monitors,How the synchronized Keyword and Monitors Work,A,medium
P01,java-concurrency,synchronization-and-locks,synchronized-method-vs-block-java,Synchronized Method vs Synchronized Block in Java — Granularity and Lock Object Tradeoffs,B,medium
P01,java-concurrency,synchronization-and-locks,synchronized-vs-reentrantlock,synchronized vs ReentrantLock — Which Lock to Use?,B,medium
P01,java-concurrency,synchronization-and-locks,wait-notify-vs-condition-await-signal,wait/notify vs Condition.await/signal,B,medium
P01,java-concurrency,synchronization-and-locks,what-is-synchronization-java,What Is Synchronization in Java — Mutual Exclusion and Memory Visibility Explained,A,medium
P01,java-concurrency,thread-pools-and-executor,executorservice-thread-pool-types,Java ExecutorService — Thread Pool Types,A,medium
P01,java-concurrency,thread-pools-and-executor,fixed-vs-cached-vs-single-threadpool-java,`FixedThreadPool` vs `CachedThreadPool` vs `SingleThreadExecutor` — When to Use Each (and When Not To),E,high
P01,java-concurrency,thread-pools-and-executor,forkjoinpool-recursive-task,ForkJoinPool and RecursiveTask,A,low
P01,java-concurrency,thread-pools-and-executor,rejectedexecutionhandler-java,`RejectedExecutionHandler` in Java — Four Policies and Custom Implementations,A,medium
P01,java-concurrency,thread-pools-and-executor,threadpool-sizing-cpu-io-bound,Thread Pool Sizing: CPU-Bound vs IO-Bound,B,medium
P01,java-concurrency,thread-pools-and-executor,why-use-thread-pool-java,"Why Use a Thread Pool in Java — Creation Cost, Bounded Concurrency, Graceful Shutdown",A,medium
P01,java-concurrency,threads-and-lifecycle,daemon-threads-java-explained,Daemon Threads in Java — Background Workers That Don't Block Shutdown,A,medium
P01,java-concurrency,threads-and-lifecycle,thread-interrupt-mechanism-java,"Thread Interruption in Java — `interrupt()`, `isInterrupted()`, `interrupted()` Explained",C,high
P01,java-concurrency,threads-and-lifecycle,thread-sleep-vs-wait-java,"`Thread.sleep()` vs `Object.wait()` — Lock Release, Recipients, and When to Use Each",E,high
P01,java-concurrency,threads-and-lifecycle,thread-start-vs-run-java,`Thread.start()` vs `Thread.run()` — Why Calling `run()` Directly Is a Classic Bug,B,medium
P01,java-concurrency,threads-and-lifecycle,thread-vs-runnable-vs-callable,Thread vs Runnable vs Callable,B,medium
P01,java-concurrency,threads-and-lifecycle,what-is-thread-in-java,"What Is a Thread in Java — `Thread`, `Runnable`, and Multithreading Explained",A,medium
P01,java-concurrency,virtual-threads,java21-virtual-threads-structured-concurrency,Java 21 Virtual Threads and Structured Concurrency,A,medium
P01,java-concurrency,virtual-threads,virtual-threads-pinning-problem-java,"Virtual Thread Pinning — Causes, Detection, Fixes",A,medium
P01,java-concurrency,virtual-threads,what-are-virtual-threads-java-21,Virtual Threads in Java 21 — Project Loom Explained,A,medium
P01,java-concurrency,virtual-threads,when-to-use-virtual-threads-java,When to Use Virtual Threads — Best-Fit and Bad-Fit Workloads,A,medium
P01,java-oop,comparisons,abstract-class-vs-interface-java-comparison,Abstract Class vs Interface in Java 8+ — Complete Comparison with Decision Rules,B,high
P01,java-oop,oop-principles,abstraction-abstract-class-vs-interface,Abstraction in Java — When to Use Abstract Class vs Interface,E,high
P01,java-oop,oop-principles,anonymous-inner-class-vs-lambda-java,"Anonymous Inner Class vs Lambda in Java — Scoping, `this`, Bytecode, When to Use Each",E,high
P01,java-oop,oop-principles,association-aggregation-composition,Association vs Aggregation vs Composition in Java,B,medium
P01,java-oop,oop-principles,compile-time-vs-runtime-polymorphism,Compile-Time vs Runtime Polymorphism in Java,B,medium
P01,java-oop,oop-principles,composition-vs-inheritance-java,Composition vs Inheritance — Why 'Favor Composition Over Inheritance',B,medium
P01,java-oop,oop-principles,constructor-chaining-java,Constructor Chaining in Java — this() and super(),A,medium
P01,java-oop,oop-principles,diamond-problem-java-interfaces,The Diamond Problem in Java — Why Java Bans It for Classes and How It's Resolved for Interfaces,A,medium
P01,java-oop,oop-principles,encapsulation-access-modifiers-java,"Encapsulation and Access Modifiers in Java (private, protected, public, default)",A,medium
P01,java-oop,oop-principles,enums-in-java,Enums in Java — More Than Constants,A,medium
P01,java-oop,oop-principles,equals-and-hashcode-contract-java,The `equals()` and `hashCode()` Contract — Why Violating It Silently Breaks `HashMap` and `HashSet`,A,medium
P01,java-oop,oop-principles,how-to-create-immutable-class-java,Immutability in Java — How and Why,A,medium
P01,java-oop,oop-principles,inheritance-super-keyword-java,"Inheritance in Java — IS-A Relationship, super Keyword, and Method Overriding",A,medium
P01,java-oop,oop-principles,inner-classes-java,"Inner Classes in Java — Static, Non-Static, Local, and Anonymous",A,medium
P01,java-oop,oop-principles,java-default-static-methods-interfaces,Default and Static Methods in Interfaces,A,medium
P01,java-oop,oop-principles,marker-interfaces-java,"Marker Interfaces in Java — Serializable, Cloneable, Remote",A,medium
P01,java-oop,oop-principles,method-overloading-vs-overriding-java,Method Overloading vs Method Overriding in Java,B,medium
P01,java-oop,oop-principles,object-class-methods-java,"Object Class Methods — toString, hashCode, equals, clone, finalize",A,medium
P01,java-oop,oop-principles,oop-four-pillars-java,"The Four Pillars of OOP — Encapsulation, Inheritance, Polymorphism, Abstraction",A,medium
P01,java-oop,oop-principles,serialization-serialversionuid-java,"Serialization in Java — Serializable, serialVersionUID, and Transient",A,medium
P01,java-oop,oop-principles,shallow-vs-deep-copy-java,Shallow Copy vs Deep Copy in Java,B,medium
P01,java-oop,oop-principles,static-keyword-java-explained,The static Keyword in Java,A,medium
P01,java-oop,oop-principles,this-vs-super-keyword-java,this vs super Keyword in Java,B,medium
P01,java-streams,comparisons,imperative-vs-functional-java-comparison,Imperative vs Functional Java — Loops vs Stream Pipelines,B,high
P01,java-streams,comparisons,optional-vs-null-java-comparison,`Optional` vs `null` — Where Each Belongs,B,high
P01,java-streams,comparisons,stream-vs-collection-java-comparison,"Stream vs Collection — Different Beasts, Not Substitutes",B,high
P01,java-streams,java-14-to-17-features,helpful-null-pointer-exceptions-java,Helpful NullPointerExceptions (Java 14+) — Tell Me Which Variable Was Null,A,medium
P01,java-streams,java-14-to-17-features,java-records,Java Records (Java 16+) — Concise Immutable Data Carriers,A,medium
P01,java-streams,java-14-to-17-features,pattern-matching-instanceof-java,Pattern Matching for `instanceof` — Cleaner Downcasting (Java 16+),A,medium
P01,java-streams,java-14-to-17-features,sealed-classes,Sealed Classes (Java 17+) — Closed Type Hierarchies and Exhaustive Matching,A,medium
P01,java-streams,java-14-to-17-features,switch-expressions,"Switch Expressions in Java — Arrow Syntax, `yield`, Exhaustiveness",A,medium
P01,java-streams,java-14-to-17-features,text-blocks-string-templates,"Text Blocks in Java — Multi-Line Strings, Incidental Whitespace, Escape Tricks",A,medium
P01,java-streams,java-21-features,pattern-matching-for-switch-java-21,"Switch Pattern Matching (Java 21) — Type Patterns, Deconstruction, Guards",A,medium
P01,java-streams,java-21-features,sequenced-collections-java-21,"Sequenced Collections (Java 21) — `first`, `last`, `reversed` — Finally",A,medium
P01,java-streams,java-21-features,structured-concurrency-java-21,Structured Concurrency (`StructuredTaskScope`) — Tree-Shaped Task Hierarchies,A,medium
P01,java-streams,java-21-features,virtual-threads-java-21,"Virtual Threads (Project Loom) — Carrier Threads, Pinning, and Massive Concurrency",A,medium
P01,java-streams,java-9-to-11-features,java-10-var-local-variable-type-inference,Java 10 `var` — Local Variable Type Inference,A,medium
P01,java-streams,java-9-to-11-features,java-11-http-client-api,Java 11 `HttpClient` — Modern HTTP Client with HTTP/2 and Async,A,medium
P01,java-streams,java-9-to-11-features,java-9-factory-methods-list-of-set-of-map-of,"Java 9 Immutable Collection Factories — `List.of`, `Set.of`, `Map.of`",A,medium
P01,java-streams,java-9-to-11-features,java-9-module-system-jpms,"Java 9 Module System (JPMS) — Motivation, `module-info.java`, and Migration",A,medium
P01,java-streams,lambdas-functional-interfaces,functional-interface-java-explained,Functional Interfaces in Java — Single Abstract Method Contracts,A,medium
P01,java-streams,lambdas-functional-interfaces,lambdas-functional-interfaces,Lambdas and Functional Interfaces — Complete Guide,A,medium
P01,java-streams,lambdas-functional-interfaces,method-references-java-four-types,Method References — The Four Forms and Their Lambda Equivalents,A,medium
P01,java-streams,lambdas-functional-interfaces,optional-usage,"Optional Proper Usage — Return Types, orElse, and Anti-Patterns",A,medium
P01,java-streams,lambdas-functional-interfaces,predicate-function-consumer-supplier-java,"Predicate, Function, Consumer, Supplier — Java's Core Functional Interfaces",A,medium
P01,java-streams,lambdas-functional-interfaces,streams-api,Java Streams API — How It Works and Most Useful Operations,A,medium
P01,java-streams,lambdas-functional-interfaces,what-is-lambda-expression-java,"Lambda Expressions in Java — Syntax, Scoping, and `invokedynamic`",A,medium
P01,java-streams,optional-api,optional-as-return-type-best-practices-java,`Optional` as Return Type — Brian Goetz's Guidance and Best Practices,A,medium
P01,java-streams,optional-api,optional-of-ofNullable-empty-java,`Optional.of` vs `ofNullable` vs `empty` — When to Use Each,E,high
P01,java-streams,optional-api,optional-orelse-vs-orelseget-java,`Optional.orElse` vs `orElseGet` — Eager vs Lazy Defaults,B,medium
P01,java-streams,optional-api,what-is-optional-in-java,"Java `Optional` — Purpose, API, and What It Isn't",A,medium
P01,java-streams,scenario-based,convert-list-to-map-java-streams,"List to Map in Java Streams — `Collectors.toMap`, Duplicates, and Map Suppliers",D,high
P01,java-streams,scenario-based,flatten-list-of-lists-java-streams,Flattening Nested Collections with `flatMap` — The Idiomatic Java Stream Pattern,D,high
P01,java-streams,scenario-based,group-objects-by-field-java-streams,"Grouping Objects by Field with `Collectors.groupingBy` — Single, Multi-level, Downstream",D,high
P01,java-streams,scenario-based,parallel-vs-sequential-stream-decision-java,Parallel vs Sequential Streams — When to Reach for `parallelStream`,B,medium
P01,java-streams,streams-api,collectors-advanced,Advanced Collectors and Writing Custom Collectors,A,medium
P01,java-streams,streams-api,collectors-groupingby-partitioningby-java,`groupingBy` vs `partitioningBy` — Group-By with Downstream Collectors,B,medium
P01,java-streams,streams-api,flatmap-vs-map-java-streams,`map` vs `flatMap` in Java Streams — Transform vs Flatten,B,medium
P01,java-streams,streams-api,intermediate-vs-terminal-operations-java,Intermediate vs Terminal Operations in Java Streams — Lazy vs Triggering,B,medium
P01,java-streams,streams-api,lambda-fundamentals,Lambda Expressions and Functional Interfaces in Java,A,medium
P01,java-streams,streams-api,lazy-evaluation-streams-java,Lazy Evaluation in Java Streams — How It Works and Why It Matters,A,medium
P01,java-streams,streams-api,method-references,Method References in Java — Four Types and When to Use Each,A,medium
P01,java-streams,streams-api,optional-best-practices,Using Java Optional Correctly — Best Practices and Anti-Patterns,A,medium
P01,java-streams,streams-api,parallel-stream-when-to-use-java,"When to Use Parallel Streams — Trade-offs, Pitfalls, and Better Alternatives",A,medium
P01,java-streams,streams-api,reduce-vs-collect-java-streams,`reduce` vs `collect` — Immutable Folding vs Mutable Reduction,B,medium
P01,java-streams,streams-api,stream-api-operations,Java Stream API — Intermediate and Terminal Operations Deep Dive,A,medium
P01,java-streams,streams-api,stream-performance,"Stream Performance, Parallel Streams, and Common Pitfalls",A,medium
P01,java-streams,streams-api,what-is-java-stream-api,What Is the Java Stream API — Declarative Pipelines Over Collections,A,medium
P01,jvm-internals,comparisons,aot-vs-jit-compilation-comparison,"AOT vs JIT Compilation in Java — Startup, Throughput, Memory, and Build Trade-offs",B,high
P01,jvm-internals,comparisons,minor-gc-vs-full-gc-comparison,"Minor GC vs Full GC — Scope, Pause Duration, Causes, and Log Signatures",B,high
P01,jvm-internals,garbage-collection,full-gc-vs-minor-gc-java,Full GC vs Minor GC vs Major GC — Semantics and Log Diagnosis,B,medium
P01,jvm-internals,garbage-collection,g1-vs-cms-gc-java,G1GC vs CMS — Why G1 Replaced CMS as the Low-Pause Collector,B,medium
P01,jvm-internals,garbage-collection,gc-algorithms-comparison,"JVM Garbage Collectors Compared — G1, ZGC, Shenandoah, Parallel",B,medium
P01,jvm-internals,garbage-collection,gc-tuning-gclog-analysis,GC Tuning and GC Log Analysis,A,medium
P01,jvm-internals,garbage-collection,generational-gc-young-old-java,Generational Garbage Collection — Young vs Old Generation Explained,B,medium
