slug,archetype,confidence,importance,difficulty,module,topic,title,file,status
latency-vs-throughput-optimization-java,B,medium,,intermediate,production-sre,performance-troubleshooting,Latency vs Throughput: Definitions and Optimization Strategies,content/java-backend-intermediate/production-sre/performance-troubleshooting/complete-qa.json,legacy
optimize-json-serialization-deserialization-java,D,high,,intermediate,production-sre,performance-troubleshooting,Optimizing JSON Serialization and Deserialization in Java,content/java-backend-intermediate/production-sre/performance-troubleshooting/complete-qa.json,legacy
production-incident-runbook-and-process,D,high,,intermediate,production-sre,runbooks,Handling Production Incidents: Runbook and Process,content/java-backend-intermediate/production-sre/runbooks/complete-qa.json,legacy
blue-green-vs-canary-deployment-difference,B,medium,,intermediate,production-sre,scenario-based,Blue-Green vs Canary Deployment: Key Differences,content/java-backend-intermediate/production-sre/scenario-based/complete-qa.json,legacy
database-schema-migrations-production-flyway-liquibase,D,high,,intermediate,production-sre,scenario-based,Managing Database Schema Migrations in Production with Flyway and Liquibase,content/java-backend-intermediate/production-sre/scenario-based/complete-qa.json,legacy
what-is-cache-stampede-how-to-prevent-it,D,high,,intermediate,production-sre,scenario-based,Cache Stampede: What It Is and How to Prevent It,content/java-backend-intermediate/production-sre/scenario-based/complete-qa.json,legacy
circuit-breaker-pattern-production-java,D,high,,intermediate,production-sre,sre-practices,Circuit Breaker Pattern in Production Java Services,content/java-backend-intermediate/production-sre/sre-practices/complete-qa.json,legacy
how-to-implement-feature-flag-system,D,high,,intermediate,production-sre,sre-practices,Implementing a Feature Flag System,content/java-backend-intermediate/production-sre/sre-practices/complete-qa.json,legacy
key-health-checks-production-java-app,D,high,,intermediate,production-sre,sre-practices,Key Health Checks Every Production Java App Should Have,content/java-backend-intermediate/production-sre/sre-practices/complete-qa.json,legacy
sre-vs-devops-difference,B,medium,,intermediate,production-sre,sre-practices,SRE vs DevOps: What They Are and How They Differ,content/java-backend-intermediate/production-sre/sre-practices/complete-qa.json,legacy
zero-downtime-deployments-spring-boot,D,high,,intermediate,production-sre,sre-practices,Implementing Zero-Downtime Deployments for Spring Boot,content/java-backend-intermediate/production-sre/sre-practices/complete-qa.json,legacy
