slug,archetype,confidence,importance,difficulty,module,topic,title,file
grpc-error-handling-status-codes,A,medium,high,intermediate,grpc,grpc-fundamentals,gRPC Error Handling with Status Codes,content/java-backend-intermediate/grpc/grpc-fundamentals/complete-qa.json
grpc-health-checking-protocol,A,medium,high,intermediate,grpc,grpc-fundamentals,gRPC Health Checking Protocol,content/java-backend-intermediate/grpc/grpc-fundamentals/complete-qa.json
grpc-interceptors-auth-logging,A,medium,high,intermediate,grpc,grpc-fundamentals,gRPC Interceptors for Auth and Logging,content/java-backend-intermediate/grpc/grpc-fundamentals/complete-qa.json
grpc-server-spring-boot-setup,A,medium,high,intermediate,grpc,grpc-fundamentals,Setting Up a gRPC Server in Spring Boot,content/java-backend-intermediate/grpc/grpc-fundamentals/complete-qa.json
grpc-service-types-java,A,medium,high,intermediate,grpc,grpc-fundamentals,"gRPC Service Types — Unary, Server Streaming, Client Streaming, Bidirectional",content/java-backend-intermediate/grpc/grpc-fundamentals/complete-qa.json
grpc-vs-rest-performance,B,medium,high,intermediate,grpc,grpc-fundamentals,gRPC vs REST Performance Comparison,content/java-backend-intermediate/grpc/grpc-fundamentals/complete-qa.json
testing-grpc-services-java,A,medium,high,intermediate,grpc,grpc-fundamentals,Testing gRPC Services in Java,content/java-backend-intermediate/grpc/grpc-fundamentals/complete-qa.json
rabbitmq-acknowledgment-modes,B,medium,high,intermediate,rabbitmq,rabbitmq-fundamentals,RabbitMQ Acknowledgment Modes: Auto vs Manual,content/java-backend-intermediate/rabbitmq/rabbitmq-fundamentals/complete-qa.json
rabbitmq-clustering-high-availability,A,medium,high,intermediate,rabbitmq,rabbitmq-fundamentals,RabbitMQ Clustering and High Availability,content/java-backend-intermediate/rabbitmq/rabbitmq-fundamentals/complete-qa.json
rabbitmq-exchange-types,A,medium,high,intermediate,rabbitmq,rabbitmq-fundamentals,"RabbitMQ Exchange Types: Direct, Fanout, Topic, and Headers",content/java-backend-intermediate/rabbitmq/rabbitmq-fundamentals/complete-qa.json
rabbitmq-message-durability,A,medium,high,intermediate,rabbitmq,rabbitmq-fundamentals,RabbitMQ Message Durability and Persistence,content/java-backend-intermediate/rabbitmq/rabbitmq-fundamentals/complete-qa.json
rabbitmq-publisher-confirms,A,medium,high,intermediate,rabbitmq,rabbitmq-fundamentals,RabbitMQ Publisher Confirms: Reliable Message Publishing,content/java-backend-intermediate/rabbitmq/rabbitmq-fundamentals/complete-qa.json
rabbitmq-vs-kafka,B,medium,high,intermediate,rabbitmq,rabbitmq-fundamentals,RabbitMQ vs Kafka: Choosing the Right Message Broker,content/java-backend-intermediate/rabbitmq/rabbitmq-fundamentals/complete-qa.json
spring-amqp-setup,A,medium,high,intermediate,rabbitmq,rabbitmq-fundamentals,Setting Up Spring AMQP: RabbitTemplate and @RabbitListener,content/java-backend-intermediate/rabbitmq/rabbitmq-fundamentals/complete-qa.json
spring-amqp-testing-embedded,A,medium,high,intermediate,rabbitmq,rabbitmq-fundamentals,Testing Spring AMQP with Embedded RabbitMQ,content/java-backend-intermediate/rabbitmq/rabbitmq-fundamentals/complete-qa.json
dead-letter-queue-spring-kafka-rabbitmq,A,medium,medium,medium,rabbitmq,rabbitmq-fundamentals,Dead Letter Queue: Handling Failed Events in Spring,content/java-backend-intermediate/rabbitmq/rabbitmq-fundamentals/complete-qa.json
layered-vs-hexagonal-vs-clean-vs-onion,B,high,,medium,architecture-patterns,comparisons,Layered vs Hexagonal vs Clean vs Onion Architecture,content/java-backend-intermediate/architecture-patterns/comparisons/complete-qa.json
observer-pattern-spring-events-java,A,medium,,medium,design-patterns,behavioral-patterns,Observer Pattern — How Spring Events Use It,content/java-backend-intermediate/design-patterns/behavioral-patterns/complete-qa.json
strategy-pattern-replace-if-else-java,A,medium,,medium,design-patterns,behavioral-patterns,Strategy Pattern — Replacing If-Else Chains,content/java-backend-intermediate/design-patterns/behavioral-patterns/complete-qa.json
template-method-pattern-spring-jdbctemplate,A,medium,,medium,design-patterns,behavioral-patterns,Template Method Pattern — Spring's JdbcTemplate,content/java-backend-intermediate/design-patterns/behavioral-patterns/complete-qa.json
gof-design-patterns-vs-modern-alternatives-java,B,high,,medium,design-patterns,comparisons,"GoF Patterns vs Modern Java: Strategy vs Lambdas, Singleton vs DI, Factory vs Builder, Observer vs Reactive, Command vs Events",content/java-backend-intermediate/design-patterns/comparisons/complete-qa.json
builder-pattern-fluent-api-java,A,medium,,medium,design-patterns,creational-patterns,Builder Pattern in Java — Fluent API Design,content/java-backend-intermediate/design-patterns/creational-patterns/complete-qa.json
factory-method-vs-abstract-factory-java,E,high,,medium,design-patterns,creational-patterns,Factory Method vs Abstract Factory — When to Use Each,content/java-backend-intermediate/design-patterns/creational-patterns/complete-qa.json
singleton-thread-safe-java,B,medium,,medium,design-patterns,creational-patterns,Singleton Pattern — Thread-Safe Implementations (DCL vs Enum),content/java-backend-intermediate/design-patterns/creational-patterns/complete-qa.json
circuit-breaker-pattern-resilience4j-java,A,medium,,medium,design-patterns,design-patterns-legacy,Circuit Breaker Pattern — Resilience4j Implementation,content/java-backend-intermediate/design-patterns/design-patterns-legacy/complete-qa.json
cqrs-pattern-spring-java,A,medium,,medium,design-patterns,design-patterns-legacy,CQRS Pattern — Separate Read/Write Models in Spring,content/java-backend-intermediate/design-patterns/design-patterns-legacy/complete-qa.json
repository-vs-dao-pattern-spring-data,B,medium,,medium,design-patterns,design-patterns-legacy,Repository Pattern vs DAO Pattern in Spring Data,content/java-backend-intermediate/design-patterns/design-patterns-legacy/complete-qa.json
specification-pattern-complex-queries-java,A,medium,,medium,design-patterns,design-patterns-legacy,Specification Pattern for Complex Query Building,content/java-backend-intermediate/design-patterns/design-patterns-legacy/complete-qa.json
refactoring-legacy-java-code-safely-incrementally,B,medium,,medium,design-patterns,refactoring,"Refactoring Legacy Java Code: Safety Nets, Techniques, and Refactor-vs-Rewrite Decisions",content/java-backend-intermediate/design-patterns/refactoring/complete-qa.json
decorator-pattern-java-behavior-without-subclassing,A,medium,,medium,design-patterns,structural-patterns,Decorator Pattern — Adding Behavior Without Subclassing,content/java-backend-intermediate/design-patterns/structural-patterns/complete-qa.json
proxy-pattern-spring-aop-java,A,medium,,medium,design-patterns,structural-patterns,Proxy Pattern — How Spring AOP Implements It,content/java-backend-intermediate/design-patterns/structural-patterns/complete-qa.json
patterns-as-technical-debt-over-engineering,A,medium,,medium,design-patterns,technical-debt,"Design Patterns as Technical Debt: Over-Engineering, Pattern Soup, and How to Unwind Safely",content/java-backend-intermediate/design-patterns/technical-debt/complete-qa.json
modular-monolith-to-microservices-migration,D,high,,hard,architecture-patterns,scenario-based,Migrating a Modular Monolith to Microservices,content/java-backend-intermediate/architecture-patterns/scenario-based/complete-qa.json
backend-for-frontend-bff-pattern,A,medium,,intermediate,architecture-patterns,architectural-styles,Backend for Frontend (BFF) Pattern,content/java-backend-intermediate/architecture-patterns/architectural-styles/complete-qa.json
layered-architecture-spring-boot,A,medium,,intermediate,architecture-patterns,architectural-styles,Layered Architecture in Spring Boot — Controller → Service → Repository,content/java-backend-intermediate/architecture-patterns/architectural-styles/complete-qa.json
service-mesh-architecture,A,low,,intermediate,architecture-patterns,architectural-styles,Service Mesh Architecture,content/java-backend-intermediate/architecture-patterns/architectural-styles/complete-qa.json
clean-architecture-layers-dependency-rule,A,medium,,intermediate,architecture-patterns,clean-architecture,Clean Architecture Layers and the Dependency Rule,content/java-backend-intermediate/architecture-patterns/clean-architecture/complete-qa.json
clean-architecture-vs-layered-architecture,B,medium,,intermediate,architecture-patterns,clean-architecture,Clean Architecture vs Layered (N-tier) Architecture,content/java-backend-intermediate/architecture-patterns/clean-architecture/complete-qa.json
cross-cutting-concerns-clean-architecture,A,medium,,intermediate,architecture-patterns,clean-architecture,Cross-Cutting Concerns in Clean Architecture,content/java-backend-intermediate/architecture-patterns/clean-architecture/complete-qa.json
repository-pattern-clean-architecture,B,medium,,intermediate,architecture-patterns,clean-architecture,Repository Pattern in Clean Architecture vs Spring Data JPA,content/java-backend-intermediate/architecture-patterns/clean-architecture/complete-qa.json
rich-domain-model-vs-anemic-domain-model,B,medium,,intermediate,architecture-patterns,clean-architecture,Rich vs Anemic Domain Model,content/java-backend-intermediate/architecture-patterns/clean-architecture/complete-qa.json
spring-boot-clean-architecture-project-structure,A,medium,,intermediate,architecture-patterns,clean-architecture,Spring Boot Project Structure for Clean Architecture,content/java-backend-intermediate/architecture-patterns/clean-architecture/complete-qa.json
unit-testing-clean-architecture-java,A,medium,,intermediate,architecture-patterns,clean-architecture,Unit Testing Clean Architecture in Java,content/java-backend-intermediate/architecture-patterns/clean-architecture/complete-qa.json
use-case-interactor-pattern-java,A,medium,,intermediate,architecture-patterns,clean-architecture,Use Case / Interactor Pattern in Java,content/java-backend-intermediate/architecture-patterns/clean-architecture/complete-qa.json
when-not-to-use-clean-architecture,A,medium,,intermediate,architecture-patterns,clean-architecture,When NOT to Use Clean Architecture,content/java-backend-intermediate/architecture-patterns/clean-architecture/complete-qa.json
event-sourcing-pattern,A,medium,,intermediate,architecture-patterns,cqrs-and-event-sourcing,Event Sourcing Pattern — Storing State as a Sequence of Events,content/java-backend-intermediate/architecture-patterns/cqrs-and-event-sourcing/complete-qa.json
aggregate-aggregate-root-ddd,A,medium,,intermediate,architecture-patterns,domain-driven-design,Aggregate and Aggregate Root in DDD,content/java-backend-intermediate/architecture-patterns/domain-driven-design/complete-qa.json
anti-corruption-layer-ddd,A,medium,,intermediate,architecture-patterns,domain-driven-design,Anti-Corruption Layer (ACL) Pattern in DDD,content/java-backend-intermediate/architecture-patterns/domain-driven-design/complete-qa.json
bounded-context-ddd,A,medium,,intermediate,architecture-patterns,domain-driven-design,Bounded Context — What It Is and Why It Matters,content/java-backend-intermediate/architecture-patterns/domain-driven-design/complete-qa.json
ddd-tactical-patterns-spring-boot,A,medium,,intermediate,architecture-patterns,domain-driven-design,DDD Tactical Patterns in Spring Boot,content/java-backend-intermediate/architecture-patterns/domain-driven-design/complete-qa.json
domain-events-ddd-java,A,medium,,intermediate,architecture-patterns,domain-driven-design,Domain Events in DDD — Java Implementation,content/java-backend-intermediate/architecture-patterns/domain-driven-design/complete-qa.json
domain-services-vs-application-services-ddd,B,medium,,intermediate,architecture-patterns,domain-driven-design,Domain Service vs Application Service in DDD,content/java-backend-intermediate/architecture-patterns/domain-driven-design/complete-qa.json
entity-vs-value-object-ddd,B,medium,,intermediate,architecture-patterns,domain-driven-design,Entity vs Value Object in DDD,content/java-backend-intermediate/architecture-patterns/domain-driven-design/complete-qa.json
repository-pattern-ddd,A,medium,,intermediate,architecture-patterns,domain-driven-design,Repository Pattern in DDD,content/java-backend-intermediate/architecture-patterns/domain-driven-design/complete-qa.json
strategic-ddd-context-mapping-patterns,A,medium,,intermediate,architecture-patterns,domain-driven-design,Strategic DDD and Context Mapping Patterns,content/java-backend-intermediate/architecture-patterns/domain-driven-design/complete-qa.json
ubiquitous-language-ddd,A,medium,,intermediate,architecture-patterns,domain-driven-design,Ubiquitous Language in DDD,content/java-backend-intermediate/architecture-patterns/domain-driven-design/complete-qa.json
hexagonal-architecture-ports-adapters,A,medium,,intermediate,architecture-patterns,hexagonal-architecture,Hexagonal Architecture (Ports and Adapters) — Clean Boundaries,content/java-backend-intermediate/architecture-patterns/hexagonal-architecture/complete-qa.json
ports-and-adapters-hexagonal-architecture,B,medium,,intermediate,architecture-patterns,hexagonal-architecture,Ports and Adapters vs Layered Architecture,content/java-backend-intermediate/architecture-patterns/hexagonal-architecture/complete-qa.json
monolith-vs-microservices-vs-modular-monolith,B,medium,,intermediate,architecture-patterns,microservices-patterns,Monolith vs Microservices vs Modular Monolith,content/java-backend-intermediate/architecture-patterns/microservices-patterns/complete-qa.json
shared-database-vs-database-per-service,B,medium,,intermediate,architecture-patterns,microservices-patterns,Shared Database vs Database per Service,content/java-backend-intermediate/architecture-patterns/microservices-patterns/complete-qa.json
strangler-fig-pattern-migration,A,medium,,intermediate,architecture-patterns,microservices-patterns,Strangler Fig Pattern — Incrementally Migrating from Monolith to Microservices,content/java-backend-intermediate/architecture-patterns/microservices-patterns/complete-qa.json
solid-principles-java,A,medium,,intermediate,design-patterns,solid-principles,SOLID Principles in Java — Practical Application and Trade-offs,content/java-backend-intermediate/design-patterns/solid-principles/complete-qa.json
