slug,archetype,confidence,importance,difficulty,module,topic,title,file,status
file-upload-download-spring-boot,A,medium,high,intermediate,rest-api,request-and-response-handling,File Upload and Download in Spring Boot — MultipartFile and Streaming,content/java-backend-intermediate/rest-api/request-and-response-handling/complete-qa.json,legacy
pagination-cursor-vs-offset,B,medium,high,intermediate,rest-api,request-and-response-handling,API Pagination — Cursor-Based vs Offset-Based,content/java-backend-intermediate/rest-api/request-and-response-handling/complete-qa.json,legacy
validation-valid-constraintvalidator,A,medium,high,intermediate,rest-api,request-and-response-handling,Validation with @Valid and Custom ConstraintValidator,content/java-backend-intermediate/rest-api/request-and-response-handling/complete-qa.json,legacy
openfeign-integration-spring-cloud,A,medium,high,intermediate,rest-api,rest-client-and-feign,OpenFeign + Spring Cloud — Production Integration,content/java-backend-intermediate/rest-api/rest-client-and-feign/complete-qa.json,legacy
webclient-reactive-production-tuning,A,medium,high,advanced,rest-api,rest-client-and-feign,"WebClient Production Tuning — Pool, Timeouts, Backpressure",content/java-backend-intermediate/rest-api/rest-client-and-feign/complete-qa.json,legacy
http-methods-get-post-put-delete-patch,A,medium,high,intermediate,rest-api,rest-fundamentals,"HTTP Methods Deep Dive — GET, POST, PUT, DELETE, PATCH Semantics",content/java-backend-intermediate/rest-api/rest-fundamentals/complete-qa.json,legacy
http-status-codes-decision-guide,A,medium,high,intermediate,rest-api,rest-fundamentals,HTTP Status Codes — Decision Guide for REST APIs,content/java-backend-intermediate/rest-api/rest-fundamentals/complete-qa.json,legacy
idempotency-in-rest-apis,A,medium,high,intermediate,rest-api,rest-fundamentals,Idempotency in REST APIs,content/java-backend-intermediate/rest-api/rest-fundamentals/complete-qa.json,legacy
put-vs-patch-http-difference,E,high,high,intermediate,rest-api,rest-fundamentals,PUT vs PATCH — When to Use Each in REST APIs,content/java-backend-intermediate/rest-api/rest-fundamentals/complete-qa.json,legacy
what-makes-api-restful-constraints,A,medium,high,intermediate,rest-api,rest-fundamentals,REST Architectural Constraints — What Makes an API Truly RESTful,content/java-backend-intermediate/rest-api/rest-fundamentals/complete-qa.json,legacy
protocol-buffers-define-generate-java,D,high,high,intermediate,rest-api,scenario-based,Protocol Buffers — Defining and Generating Java Code,content/java-backend-intermediate/rest-api/scenario-based/complete-qa.json,legacy
rest-api-security-cors-csrf,D,high,high,intermediate,rest-api,scenario-based,"REST API Security — CORS, CSRF, and JWT",content/java-backend-intermediate/rest-api/scenario-based/complete-qa.json,legacy
rest-rate-limiting-implementation,D,high,high,intermediate,rest-api,scenario-based,Rate Limiting in Spring Boot REST API,content/java-backend-intermediate/rest-api/scenario-based/complete-qa.json,legacy
scaling-websockets-redis-pubsub,D,high,high,intermediate,rest-api,scenario-based,Scaling WebSockets Across Nodes with Redis Pub/Sub,content/java-backend-intermediate/rest-api/scenario-based/complete-qa.json,legacy
sockjs-fallback-older-browsers,D,high,high,intermediate,rest-api,scenario-based,SockJS Fallback for Older Browsers — Concept Explained,content/java-backend-intermediate/rest-api/scenario-based/complete-qa.json,legacy
spring-boot-websocket-stomp-setup,D,high,high,intermediate,rest-api,scenario-based,Spring Boot WebSocket with STOMP — Step-by-Step Setup,content/java-backend-intermediate/rest-api/scenario-based/complete-qa.json,legacy
spring-message-broker-configuration,D,high,high,intermediate,rest-api,scenario-based,Spring WebSocket Message Broker Configuration — Full Broker Setup,content/java-backend-intermediate/rest-api/scenario-based/complete-qa.json,legacy
testing-websocket-endpoints-spring,D,high,high,intermediate,rest-api,scenario-based,Testing WebSocket Endpoints in Spring Boot,content/java-backend-intermediate/rest-api/scenario-based/complete-qa.json,legacy
websocket-handshake-upgrade-process,D,high,high,intermediate,rest-api,scenario-based,WebSocket Handshake and HTTP Upgrade Process — Internals,content/java-backend-intermediate/rest-api/scenario-based/complete-qa.json,legacy
websocket-heartbeats-connection-management,D,high,high,intermediate,rest-api,scenario-based,WebSocket Heartbeats and Connection Management,content/java-backend-intermediate/rest-api/scenario-based/complete-qa.json,legacy
websocket-security-authentication,D,high,high,intermediate,rest-api,scenario-based,WebSocket Security and Authentication in Spring Boot,content/java-backend-intermediate/rest-api/scenario-based/complete-qa.json,legacy
websocket-vs-http-polling-vs-sse,E,high,high,intermediate,rest-api,scenario-based,WebSocket vs HTTP Polling vs SSE — When to Use Each,content/java-backend-intermediate/rest-api/scenario-based/complete-qa.json,legacy
websocket-vs-sse-detailed-comparison,B,medium,high,intermediate,rest-api,scenario-based,WebSocket vs SSE — Detailed Technical Comparison,content/java-backend-intermediate/rest-api/scenario-based/complete-qa.json,legacy
async-controllers-deferred-result-completable-future,A,medium,high,intermediate,rest-api,spring-mvc-controllers,Async Controllers with DeferredResult and CompletableFuture,content/java-backend-intermediate/rest-api/spring-mvc-controllers/complete-qa.json,legacy
content-negotiation-spring-mvc,A,medium,high,intermediate,rest-api,spring-mvc-controllers,"Content Negotiation in Spring MVC — JSON, XML, and Custom Media Types",content/java-backend-intermediate/rest-api/spring-mvc-controllers/complete-qa.json,legacy
cors-configuration-spring-mvc,A,medium,high,intermediate,rest-api,spring-mvc-controllers,CORS Configuration in Spring MVC,content/java-backend-intermediate/rest-api/spring-mvc-controllers/complete-qa.json,legacy
handlerinterceptor-vs-filter,B,medium,high,intermediate,rest-api,spring-mvc-controllers,HandlerInterceptor vs Servlet Filter,content/java-backend-intermediate/rest-api/spring-mvc-controllers/complete-qa.json,legacy
response-entity-spring-mvc,A,medium,high,intermediate,rest-api,spring-mvc-controllers,"ResponseEntity — Controlling HTTP Status, Headers, and Body",content/java-backend-intermediate/rest-api/spring-mvc-controllers/complete-qa.json,legacy
restcontroller-vs-controller-responsebody,B,medium,high,intermediate,rest-api,spring-mvc-controllers,@RestController vs @Controller + @ResponseBody,content/java-backend-intermediate/rest-api/spring-mvc-controllers/complete-qa.json,legacy
spring-mvc-request-lifecycle,C,high,high,intermediate,rest-api,spring-mvc-controllers,Spring MVC Request Lifecycle (DispatcherServlet Flow),content/java-backend-intermediate/rest-api/spring-mvc-controllers/complete-qa.json,legacy
api-versioning-uri-header-media-type,B,medium,high,intermediate,rest-api,versioning,REST API Versioning — URI vs Header vs Media Type,content/java-backend-intermediate/rest-api/versioning/complete-qa.json,legacy
spring-cloud-config-profiles-environment-specific-configuration,A,medium,medium,easy,microservices,config-management,Config Profiles and Environment-Specific Configuration,content/java-backend-intermediate/microservices/config-management/complete-qa.json,legacy
feign-client-vs-resttemplate-vs-webclient,B,medium,medium,easy,microservices,feign-client,Feign vs RestTemplate vs WebClient,content/java-backend-intermediate/microservices/feign-client/complete-qa.json,legacy
spring-cloud-loadbalancer-client-side,A,medium,medium,easy,microservices,load-balancing,Spring Cloud LoadBalancer: Client-Side Load Balancing,content/java-backend-intermediate/microservices/load-balancing/complete-qa.json,legacy
kafka-vs-rabbitmq-vs-sqs-vs-pulsar,B,high,medium,medium,messaging-events,comparisons,Messaging Systems: Kafka vs RabbitMQ vs SQS vs Pulsar,content/java-backend-intermediate/messaging-events/comparisons/complete-qa.json,legacy
event-schema-evolution-backward-compatibility,A,medium,medium,medium,messaging-events,kafka-architecture,Event Schema Evolution: Backward and Forward Compatibility,content/java-backend-intermediate/messaging-events/kafka-architecture/complete-qa.json,legacy
consumer-group-fan-out-event-patterns,A,medium,medium,medium,messaging-events,kafka-patterns,Consumer Group Fan-Out: Multiple Services Consuming the Same Events,content/java-backend-intermediate/messaging-events/kafka-patterns/complete-qa.json,legacy
exactly-once-vs-at-least-once-delivery,B,medium,medium,medium,messaging-events,message-guarantees,Delivery Semantics: Exactly-Once vs At-Least-Once vs At-Most-Once,content/java-backend-intermediate/messaging-events/message-guarantees/complete-qa.json,legacy
idempotent-consumers-event-deduplication,A,medium,medium,medium,messaging-events,message-guarantees,Idempotent Consumers: Safe Duplicate Event Processing,content/java-backend-intermediate/messaging-events/message-guarantees/complete-qa.json,legacy
domain-events-vs-integration-events,E,high,medium,medium,messaging-events,messaging-fundamentals,Domain Events vs Integration Events: When to Use Each,content/java-backend-intermediate/messaging-events/messaging-fundamentals/complete-qa.json,legacy
event-driven-vs-request-driven-architecture,B,medium,medium,medium,messaging-events,messaging-fundamentals,Event-Driven vs Request-Driven Architecture Trade-offs,content/java-backend-intermediate/messaging-events/messaging-fundamentals/complete-qa.json,legacy
spring-cloud-stream-event-driven-microservices,A,medium,medium,medium,messaging-events,spring-kafka,Spring Cloud Stream: Binder Abstraction for Event-Driven Services,content/java-backend-intermediate/messaging-events/spring-kafka/complete-qa.json,legacy
webhooks-design-reliability-security,A,medium,medium,medium,messaging-events,webhooks,"Webhooks: Design, Reliability, and Security",content/java-backend-intermediate/messaging-events/webhooks/complete-qa.json,legacy
spring-cloud-gateway-routing-filters,A,medium,medium,medium,microservices,api-gateway,Spring Cloud Gateway: Routing and Filters,content/java-backend-intermediate/microservices/api-gateway/complete-qa.json,legacy
resilience4j-circuit-breaker-spring-cloud,A,medium,medium,medium,microservices,circuit-breaker,Spring Cloud Gateway CircuitBreaker Filter — Edge-Layer Resilience4j Integration,content/java-backend-intermediate/microservices/circuit-breaker/complete-qa.json,legacy
spring-cloud-stream-messaging-abstraction,A,medium,medium,medium,microservices,communication-patterns,Spring Cloud Stream: Messaging Abstraction,content/java-backend-intermediate/microservices/communication-patterns/complete-qa.json,legacy
sync-vs-async-rest-grpc-messaging,B,high,medium,medium,microservices,comparisons,Sync vs Async: REST vs gRPC vs Messaging,content/java-backend-intermediate/microservices/comparisons/complete-qa.json,legacy
spring-cloud-config-server-centralized-configuration,A,medium,medium,medium,microservices,config-management,Spring Cloud Config Server: Centralized Configuration,content/java-backend-intermediate/microservices/config-management/complete-qa.json,legacy
consumer-driven-contract-testing-pact-spring-cloud-contract,A,medium,medium,medium,microservices,contract-testing,Consumer-Driven Contract Testing with Pact / Spring Cloud Contract,content/java-backend-intermediate/microservices/contract-testing/complete-qa.json,legacy
pact-vs-spring-cloud-contract-comparison,B,medium,medium,medium,microservices,contract-testing,Pact vs Spring Cloud Contract: Consumer-Driven vs Producer-Driven,content/java-backend-intermediate/microservices/contract-testing/complete-qa.json,legacy
spring-cloud-contract-producer-consumer-testing,A,medium,medium,medium,microservices,contract-testing,"Spring Cloud Contract: Producer Contracts, Stub Runner, Consumer Verification",content/java-backend-intermediate/microservices/contract-testing/complete-qa.json,legacy
distributed-tracing-micrometer-zipkin,A,medium,medium,medium,microservices,distributed-tracing,Distributed Tracing with Micrometer Tracing and Zipkin,content/java-backend-intermediate/microservices/distributed-tracing/complete-qa.json,legacy
rate-limiter-resilience4j-spring-boot,A,medium,medium,medium,microservices,resilience-patterns,"Rate Limiting with Resilience4j: Token Bucket, Leaky Bucket, and Burst Control",content/java-backend-intermediate/microservices/resilience-patterns/complete-qa.json,legacy
resilience4j-circuit-breaker-retry-bulkhead-timelimiter,A,medium,medium,medium,microservices,resilience-patterns,"Resilience4j Patterns: Circuit Breaker, Retry, Bulkhead, Rate Limiter, Time Limiter",content/java-backend-intermediate/microservices/resilience-patterns/complete-qa.json,legacy
eureka-service-discovery-vs-consul,B,medium,medium,medium,microservices,service-discovery,Eureka vs Consul: Service Discovery Comparison,content/java-backend-intermediate/microservices/service-discovery/complete-qa.json,legacy
rest-vs-graphql-vs-grpc-api-design,B,high,medium,medium,rest-api,comparisons,API Styles: REST vs GraphQL vs gRPC,content/java-backend-intermediate/rest-api/comparisons/complete-qa.json,legacy
http-caching-etag-cache-control-spring-boot,A,medium,medium,medium,rest-api,http-caching-and-compression,"HTTP Caching: Cache-Control, ETags, Last-Modified",content/java-backend-intermediate/rest-api/http-caching-and-compression/complete-qa.json,legacy
resttemplate-webclient-feign-http-interface-comparison,B,medium,medium,medium,rest-api,rest-client-and-feign,RestTemplate vs WebClient vs Feign vs HTTP Interface,content/java-backend-intermediate/rest-api/rest-client-and-feign/complete-qa.json,legacy
cqrs-pattern-when-to-use-with-event-sourcing,A,medium,medium,hard,messaging-events,cqrs,CQRS: When It Helps and When It's Overkill,content/java-backend-intermediate/messaging-events/cqrs/complete-qa.json,legacy
event-sourcing-storing-state-as-events,A,medium,medium,hard,messaging-events,event-sourcing,Event Sourcing: Storing State as an Immutable Event Log,content/java-backend-intermediate/messaging-events/event-sourcing/complete-qa.json,legacy
outbox-pattern-reliable-event-publishing,A,medium,medium,hard,messaging-events,kafka-patterns,Outbox Pattern: Reliable Event Publishing with Spring Boot,content/java-backend-intermediate/messaging-events/kafka-patterns/complete-qa.json,legacy
eventual-consistency-race-conditions-event-driven,D,high,medium,hard,messaging-events,scenario-based,Eventual Consistency: Handling Race Conditions in Event-Driven Systems,content/java-backend-intermediate/messaging-events/scenario-based/complete-qa.json,legacy
saga-pattern-distributed-transactions-choreography,D,high,medium,hard,messaging-events,scenario-based,Saga Pattern: Distributed Transactions via Choreography and Orchestration,content/java-backend-intermediate/messaging-events/scenario-based/complete-qa.json,legacy
kafka-streams-vs-flink-vs-spark-streaming,B,medium,medium,hard,messaging-events,stream-processing,Stream Processing: Kafka Streams vs Flink vs Spark Structured Streaming,content/java-backend-intermediate/messaging-events/stream-processing/complete-qa.json,legacy
combining-resilience-patterns-order-of-operations,A,medium,medium,hard,microservices,resilience-patterns,Combining Resilience Patterns: Decorator Order and Why It Matters,content/java-backend-intermediate/microservices/resilience-patterns/complete-qa.json,legacy
idempotency-exactly-once-distributed-systems,A,medium,medium,hard,microservices,resilience-patterns,Idempotency + Exactly-Once: Design Patterns,content/java-backend-intermediate/microservices/resilience-patterns/complete-qa.json,legacy
cascading-failure-one-slow-service-down-platform,G,medium,medium,hard,microservices,scenario-based,Scenario: Cascading Failure from One Slow Downstream,content/java-backend-intermediate/microservices/scenario-based/complete-qa.json,legacy
rest-resource-naming-conventions,A,medium,medium,intermediate,rest-api,api-design,REST Resource Naming Conventions,content/java-backend-intermediate/rest-api/api-design/complete-qa.json,legacy
http-compression-gzip-brotli-spring-boot,A,medium,medium,intermediate,rest-api,http-caching-and-compression,"HTTP Compression — gzip, Brotli, zstd in Spring Boot",content/java-backend-intermediate/rest-api/http-caching-and-compression/complete-qa.json,legacy
